model,score_name,endpoint,score_direction,n_labeled,n_scored,n_positive_labeled,n_positive_scored,n_scaffolds,bootstrap_replicates,confidence_level,fraction,k,hits,positive_rate,background_prevalence,enrichment,boundary_score,boundary_tie_size,boundary_fraction,ci_low,ci_high,valid_bootstrap_replicates
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.05,75,14.0,0.18666666666666668,0.21643286573146292,0.8624691358024692,0.9266825497150422,1,1.0,0.5413871578939555,1.3795450157678568,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.1,150,33.0,0.22,0.21643286573146292,1.0164814814814815,0.9106780171394347,1,1.0,0.741439111923095,1.3265451247165532,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.2,300,67.0,0.22333333333333333,0.21643286573146292,1.0318827160493826,0.8885046005249023,1,1.0,0.818665254390915,1.2084586584162855,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.05,75,10.0,0.13333333333333333,0.21643286573146292,0.6160493827160494,0.979300218820572,1,1.0,0.2964580576525806,0.9746067114285164,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.1,150,25.0,0.16666666666666666,0.21643286573146292,0.7700617283950617,0.9511827111244202,1,1.0,0.48244199093340356,1.029677504838142,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.2,300,49.0,0.16333333333333333,0.21643286573146292,0.7546604938271605,0.8546675711870193,1,1.0,0.5884822798684691,0.9470928529603199,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.05,180,8.0,0.044444444444444446,0.21328866554997208,0.20837696335078534,0.9123989403247832,1,1.0,0.0764051290239438,0.3642545683970649,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.1,359,20.0,0.055710306406685235,0.21328866554997208,0.2611967507182546,0.8996713876724243,1,1.0,0.14942065421924408,0.38621984102368523,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.2,717,77.0,0.10739191073919108,0.21328866554997208,0.5035050055861027,0.8797339797019958,1,1.0,0.383189269225536,0.6256414158883893,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.05,180,17.0,0.09444444444444444,0.21328866554997208,0.44280104712041884,0.9908204555511476,1,1.0,0.23636249685099353,0.6603876597691504,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.1,359,40.0,0.11142061281337047,0.21328866554997208,0.5223935014365092,0.9858003795146942,1,1.0,0.3655898048819001,0.6897969673472419,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,0.2,717,114.0,0.1589958158995816,0.21328866554997208,0.7454489693092948,0.9662723243236542,1,1.0,0.6068227289120971,0.8676095945330817,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.05,75,17.0,0.22666666666666666,0.21643286573146292,1.047283950617284,0.9564666867256164,1,1.0,0.6495696142118731,1.5065470765521396,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.1,150,30.0,0.2,0.21643286573146292,0.9240740740740742,0.926673662662506,1,1.0,0.6882409164545245,1.2291167800453513,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.2,300,63.0,0.21,0.21643286573146292,0.9702777777777778,0.8614501595497132,1,1.0,0.7773996271423864,1.1646224707541057,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,0.05,180,37.0,0.20555555555555555,0.21316964285714285,0.9642815590459569,0.9521892547607422,1,1.0,0.7189262530088012,1.258648181973552,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,0.1,359,67.0,0.18662952646239556,0.21316964285714285,0.8754976738759499,0.9365794777870178,1,1.0,0.6984864061518868,1.056897569077464,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,0.2,717,127.0,0.17712691771269176,0.21316964285714285,0.8309199909454023,0.9107231259346008,1,1.0,0.7033108256757559,0.945443675034641,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.05,75,16.435506241331485,0.21914008321775313,0.21643286573146292,1.0125083474598038,1.0,1442,0.052011095700416086,0.9951843736221143,1.028871798012192,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.1,150,32.87101248266297,0.21914008321775313,0.21643286573146292,1.0125083474598038,1.0,1442,0.10402219140083217,0.9951843736221144,1.028871798012192,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,0.2,300,65.74202496532594,0.21914008321775313,0.21643286573146292,1.0125083474598038,1.0,1442,0.20804438280166435,0.9951843736221143,1.028871798012192,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,0.05,180,38.50645704660303,0.21392476137001684,0.21322913759419482,1.0032623298282335,1.0,3562,0.05053340819764177,1.0006511055428104,1.005795996159824,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,0.1,359,76.79898933183604,0.2139247613700168,0.21322913759419482,1.0032623298282333,1.0,3562,0.10078607523862998,1.0006511055428104,1.005795996159824,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,0.2,717,153.38405390230207,0.21392476137001684,0.21322913759419482,1.0032623298282335,1.0,3562,0.2012914093206064,1.0006511055428102,1.005795996159824,2000
