model,score_name,endpoint,score_direction,n_labeled,n_scored,n_positive_labeled,n_positive_scored,n_scaffolds,bootstrap_replicates,confidence_level,metric,estimate,ci_low,ci_high,valid_bootstrap_replicates
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,coverage,1.0,1.0,1.0,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,pr_auc_average_precision,0.22971253654677193,0.20049579797250353,0.26683553408530075,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,roc_auc,0.5104143643501416,0.47395500115208195,0.54550798984048,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_5pct,0.8624691358024692,0.5413871578939555,1.3795450157678568,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_10pct,1.0164814814814815,0.741439111923095,1.3265451247165532,2000
CYPMol,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_20pct,1.0318827160493826,0.818665254390915,1.2084586584162855,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,coverage,1.0,1.0,1.0,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,pr_auc_average_precision,0.19620338674890286,0.17410637936644557,0.2250908246981242,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,roc_auc,0.4687069137907444,0.4354741642201724,0.5024813259907174,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_5pct,0.6160493827160494,0.2964580576525806,0.9746067114285164,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_10pct,0.7700617283950617,0.48244199093340356,1.029677504838142,2000
CYPMol,inhibitor_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_20pct,0.7546604938271605,0.5884822798684691,0.9470928529603199,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,coverage,0.9994419642857143,0.998589562764457,1.0,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,pr_auc_average_precision,0.18651665205498452,0.1708344510328165,0.2035302885760266,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,roc_auc,0.4772872316707479,0.45375109522365414,0.5009144404666512,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_5pct,0.20837696335078534,0.0764051290239438,0.3642545683970649,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_10pct,0.2611967507182546,0.14942065421924408,0.38621984102368523,2000
CYPMol,substrate_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_20pct,0.5035050055861027,0.383189269225536,0.6256414158883893,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,coverage,0.9994419642857143,0.9985843413753122,1.0,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,pr_auc_average_precision,0.20686599265605818,0.1899960163416035,0.22554688111468846,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,roc_auc,0.5321349477368748,0.5090490096915583,0.5540823587766923,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_5pct,0.44280104712041884,0.23636249685099353,0.6603876597691504,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_10pct,0.5223935014365092,0.3655898048819001,0.6897969673472419,2000
CYPMol,inhibitor_score,CYP3A4,higher,3584,3582,764,764,2965,2000,0.95,enrichment_top_20pct,0.7454489693092948,0.6068227289120971,0.8676095945330817,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,coverage,1.0,1.0,1.0,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,pr_auc_average_precision,0.21396990966433738,0.18792217267650416,0.2457231181839968,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,roc_auc,0.49168008588298445,0.4561840983343233,0.5259993201313211,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_5pct,1.047283950617284,0.6495696142118731,1.5065470765521396,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_10pct,0.9240740740740742,0.6882409164545245,1.2291167800453513,2000
DeepMetab,substrate_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_20pct,0.9702777777777778,0.7773996271423864,1.1646224707541057,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,coverage,1.0,1.0,1.0,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,pr_auc_average_precision,0.19739242872321103,0.1794229386190431,0.21782654960659975,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,roc_auc,0.4634723924102335,0.4390867111595208,0.48766049749224905,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,enrichment_top_5pct,0.9642815590459569,0.7189262530088012,1.258648181973552,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,enrichment_top_10pct,0.8754976738759499,0.6984864061518868,1.056897569077464,2000
DeepMetab,substrate_score,CYP3A4,higher,3584,3584,764,764,2965,2000,0.95,enrichment_top_20pct,0.8309199909454023,0.7033108256757559,0.945443675034641,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,coverage,1.0,1.0,1.0,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,pr_auc_average_precision,0.21907323834154843,0.1977220998161847,0.2414575840373127,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,roc_auc,0.5076884215844147,0.49709394731752277,0.5176813174016961,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_5pct,1.0125083474598038,0.9951843736221143,1.028871798012192,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_10pct,1.0125083474598038,0.9951843736221144,1.028871798012192,2000
CypReact,cypreact_public_score,CYP2D6,higher,1497,1497,324,324,1450,2000,0.95,enrichment_top_20pct,1.0125083474598038,0.9951843736221143,1.028871798012192,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,coverage,0.9997209821428571,0.9991474304325967,1.0,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,pr_auc_average_precision,0.21392294036536807,0.19943242390238747,0.23000030236250865,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,roc_auc,0.5020610888343681,0.5004036534497146,0.5036700775194746,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,enrichment_top_5pct,1.0032623298282335,1.0006511055428104,1.005795996159824,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,enrichment_top_10pct,1.0032623298282333,1.0006511055428104,1.005795996159824,2000
CypReact,cypreact_public_score,CYP3A4,higher,3584,3583,764,764,2965,2000,0.95,enrichment_top_20pct,1.0032623298282335,1.0006511055428102,1.005795996159824,2000
