model,score_name,endpoint,prediction_path,id_column,score_column,score_direction,status,source_revision,notes
DeepP450,substrate_score,CYP2D6,../predictions/raw/deepp450.csv,Molecule_Name,CYP2D6_substrate_score,higher,deferred,git:dea269a228177491aa02b02f5f3c396f415778ac,Deferred because the 58.8 GB Baidu bundle requires authenticated download; adapter is prepared
DeepP450,substrate_score,CYP3A4,../predictions/raw/deepp450.csv,Molecule_Name,CYP3A4_substrate_score,higher,deferred,git:dea269a228177491aa02b02f5f3c396f415778ac,Deferred because the 58.8 GB Baidu bundle requires authenticated download; adapter is prepared
CYPMol,substrate_score,CYP2D6,../predictions/raw/cypmol_substrate.csv,Molecule_Name,CYP2D6_substrate_score,higher,ready,git:0c6657dc882f23293ff9a43977c8f31818f8a6f8|hf:3810a93e04d1dbab4cde73792a1e3830b1f17e41,Mean class-1 substrate score across ten checkpoints; strict full-state Blackwell inference
CYPMol,inhibitor_score,CYP2D6,../predictions/raw/cypmol_inhibitor.csv,Molecule_Name,CYP2D6_inhibitor_score,higher,ready,git:0c6657dc882f23293ff9a43977c8f31818f8a6f8|hf:3810a93e04d1dbab4cde73792a1e3830b1f17e41,Mean class-1 inhibitor score across ten checkpoints; strict full-state Blackwell inference
CYPMol,substrate_score,CYP3A4,../predictions/raw/cypmol_substrate.csv,Molecule_Name,CYP3A4_substrate_score,higher,ready,git:0c6657dc882f23293ff9a43977c8f31818f8a6f8|hf:3810a93e04d1dbab4cde73792a1e3830b1f17e41,Mean class-1 substrate score across ten checkpoints; strict full-state Blackwell inference
CYPMol,inhibitor_score,CYP3A4,../predictions/raw/cypmol_inhibitor.csv,Molecule_Name,CYP3A4_inhibitor_score,higher,ready,git:0c6657dc882f23293ff9a43977c8f31818f8a6f8|hf:3810a93e04d1dbab4cde73792a1e3830b1f17e41,Mean class-1 inhibitor score across ten checkpoints; strict full-state Blackwell inference
DeepMetab,substrate_score,CYP2D6,../predictions/raw/deepmetab.csv,Molecule_Name,CYP2D6_substrate_score,higher,ready,git:78c7511327f1a4042b61a64c44d35abb4c4b6b9c,Unthresholded mean ChemProp score across five public multitask checkpoints; strict readout-to-ffn key mapping
DeepMetab,substrate_score,CYP3A4,../predictions/raw/deepmetab.csv,Molecule_Name,CYP3A4_substrate_score,higher,ready,git:78c7511327f1a4042b61a64c44d35abb4c4b6b9c,Unthresholded mean ChemProp score across five public multitask checkpoints; strict readout-to-ffn key mapping
CypReact,cypreact_public_score,CYP2D6,../predictions/raw/cypreact.csv,Molecule_Name,CYP2D6_cypreact_public_score,higher,ready,release:v1.2|zip:2778b65dc786125a9f6af489d599f6de6bbe81952f3d484285d0dc73370da48f,Faithful public R/N output encoded 1/0; CYP2D6 internal vote fraction is not exported
CypReact,cypreact_public_score,CYP3A4,../predictions/raw/cypreact.csv,Molecule_Name,CYP3A4_cypreact_public_score,higher,ready,release:v1.2|zip:2778b65dc786125a9f6af489d599f6de6bbe81952f3d484285d0dc73370da48f,Faithful public R/N output encoded 1/0; no continuous score is exposed
