fit_scope,endpoint,outer_fold,intercept,slope,n_fit,n_predict
outer_training,CYP1A2,0.0,1.2282107179384436,0.7004705075205546,1116,296
outer_training,CYP1A2,1.0,1.2959852500651754,0.6873260700471008,1128,284
outer_training,CYP1A2,2.0,1.1339391273218196,0.7164050281825316,1145,267
outer_training,CYP1A2,3.0,1.1857752960160124,0.7066788266055513,1123,289
outer_training,CYP1A2,4.0,1.3388231097914352,0.6749870934476672,1136,276
outer_training,CYP2C9,0.0,1.1165465168936357,0.6496500954359472,1025,260
outer_training,CYP2C9,1.0,1.484602504519545,0.5779676752131148,1049,236
outer_training,CYP2C9,2.0,1.2976554781213485,0.6181973168959931,1006,279
outer_training,CYP2C9,3.0,1.4412074952211544,0.5899015666830656,1028,257
outer_training,CYP2C9,4.0,1.121061647332709,0.6522389041565846,1032,253
outer_training,CYP2D6,0.0,2.0255176714468925,0.5034246462422968,1201,292
outer_training,CYP2D6,1.0,2.0627580942514787,0.5018726899102122,1201,292
outer_training,CYP2D6,2.0,2.187513056652675,0.4768492421089739,1171,322
outer_training,CYP2D6,3.0,2.2702683587188424,0.46208365292017645,1216,277
outer_training,CYP2D6,4.0,2.0236692594033827,0.5046455433017033,1183,310
outer_training,CYP3A4,0.0,-0.8750871398892507,0.9313716265565998,1875,460
outer_training,CYP3A4,1.0,-0.7620897931593014,0.9106398005002857,1872,463
outer_training,CYP3A4,2.0,-0.7380817922608183,0.9067002204087705,1859,476
outer_training,CYP3A4,3.0,-1.0852489887621215,0.9677193500082847,1841,494
outer_training,CYP3A4,4.0,-0.8811036903556345,0.9315810418826895,1893,442
all_training_labels_for_blind_application,CYP1A2,,1.2325254455480434,0.697933314619677,1412,750
all_training_labels_for_blind_application,CYP2C9,,1.293264085223515,0.6173727514110697,1285,750
all_training_labels_for_blind_application,CYP2D6,,2.112812270247148,0.4899843388188813,1493,750
all_training_labels_for_blind_application,CYP3A4,,-0.8677157373376665,0.9294916920171826,2335,750
