compound_id,endpoint,observed,calibrated_prediction,fold,scaffold_id
OCNT-0018684,CYP1A2,5.783014945,5.009789712542613,0,MURCKO::c1ccc2ccccc2c1
OCNT-0021943,CYP1A2,5.053625558,4.604608419868869,2,MURCKO::c1ccc2[nH]ccc2c1
OCNT-0022119,CYP1A2,5.40955026,4.90120296715655,2,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
OCNT-0022129,CYP1A2,3.86440727,4.675478605065054,0,MURCKO::c1ccc2c(c1)N=c1ccccc1=C(N1CCNCC1)N2
OCNT-0022130,CYP1A2,1.932731887,4.746714704503626,0,MURCKO::c1ccc2c(c1)N=c1sccc1=C(N1CCNCC1)N2
OCNT-0022141,CYP1A2,4.99798696,4.7072965180779685,3,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCC1CCCCN1
OCNT-0022246,CYP1A2,5.40455451,5.026462087904097,2,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
OCNT-0022254,CYP1A2,5.40609378,4.8169494563979915,4,MURCKO::c1ccc2c(c1)Nc1ccccc1S2
OCNT-0022266,CYP1A2,5.019858453,5.3447259821859925,4,MURCKO::c1ccc2c(c1)Nc1ccccc1S2
OCNT-0022268,CYP1A2,5.477508187,5.2296813351450036,2,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
OCNT-0022269,CYP1A2,4.861767925,4.939668275203707,3,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCCN1CCCCC1
OCNT-0022288,CYP1A2,5.388658353,4.855007451567273,2,MURCKO::c1ccc2c(c1)Sc1ccccc1N2CCCN1CCNCC1
OCNT-0022294,CYP1A2,5.038514985,4.9612844440421515,4,MURCKO::c1ccc2c(c1)Nc1ccccc1S2
OCNT-0022316,CYP1A2,2.131196685,4.709350236322464,4,MURCKO::O=C(C1CCCO1)N1CCN(c2ncc3ccccc3n2)CC1
OCNT-0200796,CYP1A2,2.132871568,4.567121826068972,3,MURCKO::c1ccc(NCc2cnc3ncncc3n2)cc1
OCNT-0283087,CYP1A2,5.844020868,4.738567532030654,0,MURCKO::O=C(c1cc2ccccc2[nH]1)N1CCn2cncc2C1
OCNT-0294781,CYP1A2,5.899677993,5.043202227677147,4,MURCKO::O=C(c1c[nH]c2ccccc12)N1CCc2n[nH]cc2C1
OCNT-0381046,CYP1A2,5.753405707,5.055338010453541,2,MURCKO::O=C(CCc1ccccc1)c1ccccc1
OCNT-0436875,CYP1A2,5.249563868,5.145267821150888,1,MURCKO::O=c1cc(-c2ccccc2)oc2ccccc12
OCNT-0476578,CYP1A2,5.62699618,4.763373083972327,0,MURCKO::[N+]=c1ccc2nc3ccccc3sc-2c1
OCNT-0476778,CYP1A2,5.85949227,5.507284056776068,2,MURCKO::c1ccc2[nH]c(-c3cscn3)nc2c1
OCNT-0478585,CYP1A2,5.595434417,5.298617799707256,3,MURCKO::c1ccc2nc3c(cc2c1)CCCC3
OCNT-0483505,CYP1A2,6.692482703,6.300557858048932,4,MURCKO::O=c1ccc2cc3ccoc3cc2o1
OCNT-0493792,CYP1A2,2.198138092,4.809251836085605,4,MURCKO::O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3
OCNT-0493842,CYP1A2,5.50240846,4.6543497527703055,0,MURCKO::c1ccc2scnc2c1
OCNT-0493904,CYP1A2,6.40645018,4.6281617043922045,3,MURCKO::c1ccc(OCC2CNCCO2)cc1
OCNT-0493927,CYP1A2,4.865116112,4.81939482389345,0,MURCKO::O=C1Nc2ccccc2C(C#CC2CC2)O1
OCNT-0493951,CYP1A2,5.353338098,4.485455736302436,0,MURCKO::O=C1c2ccccc2C(=O)c2ccccc21
OCNT-0494012,CYP1A2,5.802336085,5.630750143065417,4,MURCKO::O=C(Nc1ccccc1)c1cnoc1
OCNT-0494105,CYP1A2,5.820105097,4.810802572460001,0,MURCKO::c1ccc(Nc2ccccc2)cc1
OCNT-0494164,CYP1A2,4.601161295,4.762564598800854,4,MURCKO::O=C(Nc1ccc2[nH]cc(Cc3ccc(C(=O)NS(=O)(=O)c4ccccc4)cc3)c2c1)OC1CCCC1
OCNT-0495216,CYP1A2,5.301143663,4.868827044226986,3,MURCKO::c1ccc(CC2CCCCC2)cc1
OCNT-0495277,CYP1A2,4.98720785,5.194364912267659,4,MURCKO::O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1
OCNT-0495303,CYP1A2,2.099860792,4.549476218995988,0,MURCKO::c1ccc2ncccc2c1
OCNT-0495682,CYP1A2,5.616129457,5.180694009320016,0,MURCKO::c1ccc2ncccc2c1
OCNT-0496475,CYP1A2,4.765568825,4.762320870791617,1,MURCKO::c1ccc(CN2CCc3sccc3C2)cc1
OCNT-0497719,CYP1A2,5.412951787,4.848299244952486,1,MURCKO::O=C(Cc1ccc(-c2ccccc2)cc1)Nc1ccccn1
OCNT-0497926,CYP1A2,5.295571237,4.410697601105001,0,MURCKO::O=C(c1ccccc1)c1ccc2n1CCC2
OCNT-0497946,CYP1A2,4.946983765,4.389474535526991,0,MURCKO::c1ccncc1
OCNT-0497954,CYP1A2,5.046060555,5.187646413397399,2,MURCKO::C=C1c2ccccc2Sc2ccccc21
OCNT-0497994,CYP1A2,1.96732382,4.556452905250893,0,MURCKO::C1=CC(c2ccccc2)C=CN1
OCNT-0498014,CYP1A2,6.994413592,5.425917736615994,0,MURCKO::C1=CC(c2ccccc2)C=CN1
OCNT-0498030,CYP1A2,5.100591315,5.073788305549355,2,MURCKO::O=C(Cc1cccc(C(=O)c2ccccc2)c1)Nc1ccccn1
OCNT-0498090,CYP1A2,6.540418253,5.371892547782456,0,MURCKO::C1=CC(c2ccccc2)C=CN1
OCNT-0498125,CYP1A2,5.464861375,5.453271736662661,4,MURCKO::C1=C2CCCCC2C2CCC3C(c4cccnc4)=CCC3C2C1
