model,endpoint,st_rae,mae,r2,spearman_rho,kendall_tau,n,prediction_sd,observed_sd
native_raw,CYP1A2,0.669469545287005,0.7692446931381018,-0.06429706070236496,0.28274099104324896,0.19342468696218074,1412,0.4360611879942816,1.0304762090703399
native_raw,CYP2C9,0.8862258587718249,0.8516695305400778,-0.8481172380603426,0.2840650221297458,0.192397299295732,1285,0.3874290739962707,0.7822945488735998
native_raw,CYP2D6,1.021610249385578,0.8667783652170128,-0.5362004531691253,0.2199675627714985,0.1489129790676418,1493,0.4330710795626084,0.9160961500266338
native_raw,CYP3A4,1.0151806594787247,1.3108888017156317,-1.1588363735150948,0.36559573351895136,0.25071262919300247,2335,0.4367708631873372,1.0932193183824241
native_affine,CYP1A2,0.619721829299884,0.7264181149612305,0.08623189993824798,0.28092207007867737,0.19203827474537377,1412,0.30289878060838293,1.0304762090703399
native_affine,CYP2C9,0.501177151392806,0.5766268362571517,0.0896189348216081,0.27907756521274885,0.1888820199522407,1285,0.24014949406754216,0.7822945488735998
native_affine,CYP2D6,0.644680449041912,0.6183278012462813,0.05189968820209634,0.2188721197646469,0.14807080046472454,1493,0.212125161904564,0.9160961500266338
native_affine,CYP3A4,0.5278397200461006,0.826714705743303,0.1368204208491821,0.3645639121483337,0.24993568677532937,2335,0.4064061225456519,1.0932193183824241
native_affine,MA,0.5733547874451757,0.6870218645519915,0.09114273595278363,0.28585891680110176,0.1947316954844171,6525,0.29039488978153527,0.9555215565882493
native_raw,MA,0.8981215782307832,0.949645347652706,-0.6518627813617319,0.2880923273658612,0.19636189862963926,6525,0.4233330511851245,0.9555215565882493
