accession,gene,pdb_id,method,resolution,uniprot_chains,coordinate_format,source_url,relative_path,bytes,sha256,note,deposit_date,initial_release_date,post_chai1,post_boltz2,post_protenix,post_openfold3_preview
P05177,CYP1A2,2HI4,X-ray,1.95 A,A=27-516,PDB,https://files.rcsb.org/download/2HI4.pdb,pdbs/CYP1A2/2HI4.pdb,375273,4e8b360319fd7538442bf3f381d85e214fcadd576d68d6be7171135ffd5d5009,authoritative RCSB legacy PDB file,2006-06-29T00:00:00Z,2007-02-20T00:00:00Z,false,false,false,false
P11712,CYP2C9,1OG2,X-ray,2.60 A,A/B=30-490,PDB,https://files.rcsb.org/download/1OG2.pdb,pdbs/CYP2C9/1OG2.pdb,680643,c3a31e4bdf68a5e7b318ef6181a9df257d02088ade5f948842f4bd2a2d863ee9,authoritative RCSB legacy PDB file,2003-04-23T00:00:00Z,2003-07-17T00:00:00Z,false,false,false,false
P11712,CYP2C9,1OG5,X-ray,2.55 A,A/B=30-490,PDB,https://files.rcsb.org/download/1OG5.pdb,pdbs/CYP2C9/1OG5.pdb,716121,cc9cc366f5f0a399d7399106531240933cb93424f634a5e09733e96dc5829e18,authoritative RCSB legacy PDB file,2003-04-24T00:00:00Z,2003-07-17T00:00:00Z,false,false,false,false
P11712,CYP2C9,1R9O,X-ray,2.00 A,A=18-490,PDB,https://files.rcsb.org/download/1R9O.pdb,pdbs/CYP2C9/1R9O.pdb,369765,ea680bdebcb46d536773738ddf7f9723cfbb388f62b2c1cb0acb36e4e4f58e44,authoritative RCSB legacy PDB file,2003-10-30T00:00:00Z,2004-06-15T00:00:00Z,false,false,false,false
P11712,CYP2C9,4NZ2,X-ray,2.45 A,A/B=30-490,PDB,https://files.rcsb.org/download/4NZ2.pdb,pdbs/CYP2C9/4NZ2.pdb,1318923,08a78db74c627ce33a3f1ab030c38e97c2fa467b01b8e3c11196939474c711f6,authoritative RCSB legacy PDB file,2013-12-11T00:00:00Z,2014-08-13T00:00:00Z,false,false,false,false
P11712,CYP2C9,5A5I,X-ray,2.00 A,A=23-489,PDB,https://files.rcsb.org/download/5A5I.pdb,pdbs/CYP2C9/5A5I.pdb,349677,a63ec8a02cb7a341e5eb4e44e5f9df5dbca2ceb22834d587ade2ad52d6160457,authoritative RCSB legacy PDB file,2015-06-18T00:00:00Z,2016-08-24T00:00:00Z,false,false,false,false
P11712,CYP2C9,5A5J,X-ray,2.90 A,A=23-489,PDB,https://files.rcsb.org/download/5A5J.pdb,pdbs/CYP2C9/5A5J.pdb,350892,7d993167665291e0f498b1dc639d9ae54d494e6f0e78c8719d5c01150dc1bdc8,authoritative RCSB legacy PDB file,2015-06-18T00:00:00Z,2016-08-03T00:00:00Z,false,false,false,false
P11712,CYP2C9,5K7K,X-ray,2.30 A,A=23-489,PDB,https://files.rcsb.org/download/5K7K.pdb,pdbs/CYP2C9/5K7K.pdb,355104,3709db36fb5d36107d373dd028756840eb1c373df808a26c30cb53c03317348f,authoritative RCSB legacy PDB file,2016-05-26T00:00:00Z,2017-06-07T00:00:00Z,false,false,false,false
P11712,CYP2C9,5W0C,X-ray,2.00 A,A=18-489,PDB,https://files.rcsb.org/download/5W0C.pdb,pdbs/CYP2C9/5W0C.pdb,365958,0be34e30a5812d0be079eab6c8d09c0c6ff826f22a372cdf0ad6d8762fc6e7c9,authoritative RCSB legacy PDB file,2017-05-30T00:00:00Z,2017-09-13T00:00:00Z,false,false,false,false
P11712,CYP2C9,5X23,X-ray,2.00 A,A=19-490,PDB,https://files.rcsb.org/download/5X23.pdb,pdbs/CYP2C9/5X23.pdb,386127,60bd33af5b0856452b35c028d5f1aa942953042d102bef67c90432d093bafb69,authoritative RCSB legacy PDB file,2017-01-30T00:00:00Z,2017-10-25T00:00:00Z,false,false,false,false
P11712,CYP2C9,5X24,X-ray,2.48 A,A=19-490,PDB,https://files.rcsb.org/download/5X24.pdb,pdbs/CYP2C9/5X24.pdb,364581,d0ca3fd55c0c2c43ed503d659959f5feec43ca742ff63badd470682683293b78,authoritative RCSB legacy PDB file,2017-01-30T00:00:00Z,2017-10-25T00:00:00Z,false,false,false,false
P11712,CYP2C9,5XXI,X-ray,2.30 A,A=28-489,PDB,https://files.rcsb.org/download/5XXI.pdb,pdbs/CYP2C9/5XXI.pdb,376164,a3a44d8c677c478283cd10f8de2cc51e6c8fa5a461bbc2c36e9bf37b3ba7f141,authoritative RCSB legacy PDB file,2017-07-04T00:00:00Z,2017-10-25T00:00:00Z,false,false,false,false
P11712,CYP2C9,6VLT,X-ray,3.12 A,A/B/C/D/E/F/G/H=19-490,PDB,https://files.rcsb.org/download/6VLT.pdb,pdbs/CYP2C9/6VLT.pdb,2621322,94ed500350d73f71db335bde9b10d81199ac36561b33945a02a19a4e0f31d745,authoritative RCSB legacy PDB file,2020-01-25T00:00:00Z,2020-09-30T00:00:00Z,false,false,false,false
P11712,CYP2C9,7RL2,X-ray,2.23 A,A=24-490,PDB,https://files.rcsb.org/download/7RL2.pdb,pdbs/CYP2C9/7RL2.pdb,362637,ecd985a97f59ead826c2721444674df10d68589b110d65762855f275cd1a294e,authoritative RCSB legacy PDB file,2021-07-23T00:00:00Z,2021-10-06T00:00:00Z,true,false,true,true
P11712,CYP2C9,8VX0,X-ray,3.05 A,A=24-490,PDB,https://files.rcsb.org/download/8VX0.pdb,pdbs/CYP2C9/8VX0.pdb,363933,0028c175137e15f34d37f3539b67428feb035a91dabb5b992a81caedfd8787db,authoritative RCSB legacy PDB file,2024-02-02T00:00:00Z,2024-06-12T00:00:00Z,true,true,true,true
P11712,CYP2C9,8VZ7,X-ray,2.53 A,A=24-490,PDB,https://files.rcsb.org/download/8VZ7.pdb,pdbs/CYP2C9/8VZ7.pdb,369117,6d155d6b1883657e978592827d69503dc691d0af4e8492597f366fe4bfc132a4,authoritative RCSB legacy PDB file,2024-02-11T00:00:00Z,2024-06-12T00:00:00Z,true,true,true,true
